ID,Title,"Tax Status"
8987,"Wheat Pave Diamond Band",taxable
8989,"Wheat Pave Diamond Band",none
8990,"Wheat Pave Diamond Band",none
8991,"Wheat Pave Diamond Band",none
9007,"Classic Band 2mm",taxable
9008,"Classic Band 2mm",none
9009,"Classic Band 2mm",none
9010,"Classic Band 2mm",none
9011,"Classic Band 3mm",taxable
9012,"Classic Band 3mm",none
9013,"Classic Band 3mm",none
9014,"Classic Band 3mm",none
9015,"Classic Band 4mm",taxable
9016,"Classic Band 4mm",none
9017,"Classic Band 4mm",none
9018,"Classic Band 4mm",none
9019,"Classic Band 5mm",taxable
9020,"Classic Band 5mm",none
9021,"Classic Band 5mm",none
9022,"Classic Band 5mm",none
9023,"Classic Band 6mm",taxable
9024,"Classic Band 6mm",none
9025,"Classic Band 6mm",none
9026,"Classic Band 6mm",none
9036,"Classic Scroll Hand Engraved Band 2mm",taxable
9037,"Classic Scroll Hand Engraved Band 2mm",none
9038,"Classic Scroll Hand Engraved Band 2mm",none
9042,"Classic Scroll Hand Engraved Band 4mm",taxable
9043,"Classic Scroll Hand Engraved Band 4mm",none
9044,"Classic Scroll Hand Engraved Band 4mm",none
9061,"Standard Band 1.5mm",taxable
9062,"Standard Band 1.5mm",none
9063,"Standard Band 1.5mm",none
9064,"Standard Band 2mm",taxable
9065,"Standard Band 2mm",none
9066,"Standard Band 2mm",none
9067,"Standard Band 2mm",none
9072,"Standard Band 4mm",taxable
9073,"Standard Band 4mm",none
9074,"Standard Band 4mm",none
9075,"Standard Band 4mm",none
9076,"Standard Band 5mm",taxable
9077,"Standard Band 5mm",none
9078,"Standard Band 5mm",none
9079,"Standard Band 5mm",none
9080,"Standard Band 6mm",taxable
9081,"Standard Band 6mm",none
9082,"Standard Band 6mm",none
9083,"Standard Band 6mm",none
9084,"Standard with Diamonds Band 4mm",taxable
9085,"Standard with Diamonds Band 4mm",none
9086,"Standard with Diamonds Band 4mm",none
9087,"Standard with Diamonds Band 5mm",taxable
9088,"Standard with Diamonds Band 5mm",none
9089,"Standard with Diamonds Band 5mm",none
9094,"Standard Hammered Band 1.5mm",taxable
9095,"Standard Hammered Band 1.5mm",none
9096,"Standard Hammered Band 1.5mm",none
9097,"Standard Hammered Band 2mm",taxable
9098,"Standard Hammered Band 2mm",none
9099,"Standard Hammered Band 2mm",none
9100,"Standard Hammered Band 2mm",none
9109,"Standard Hammered Band 5mm",taxable
9110,"Standard Hammered Band 5mm",none
9111,"Standard Hammered Band 5mm",none
9112,"Standard Hammered Band 5mm",none
9113,"Standard Hammered Band 6mm",taxable
9114,"Standard Hammered Band 6mm",none
9115,"Standard Hammered Band 6mm",none
9116,"Standard Hammered Band 6mm",none
9117,"Standard 3-Sided Leaf Hand Engraved Band 2mm",taxable
9118,"Standard 3-Sided Leaf Hand Engraved Band 2mm",none
9119,"Standard 3-Sided Leaf Hand Engraved Band 2mm",none
9126,"Standard Hammered Rustic Band 5mm",taxable
9127,"Standard Hammered Rustic Band 5mm",none
9128,"Standard Hammered Rustic Band 5mm",none
9129,"Standard Hammered Rustic Band 5mm",none
9130,"Standard Hammered Rustic Band 6mm",taxable
9131,"Standard Hammered Rustic Band 6mm",none
9132,"Standard Hammered Rustic Band 6mm",none
9133,"Standard Hammered Rustic Band 6mm",none
9304,"Sunset Ring",taxable
9387,"Diamond in the Rough Studs",taxable
9394,"Rutilated Quartz Hex Necklace",taxable
9432,"My Aura is Gold and Diamonds with a Montana Sapphire Necklace",taxable
9445,"Apollo Ring",none
9447,"Artemis Ring",none
9450,"Aura Ring",taxable
9451,"Aura Ring",taxable
9452,"Aura Ring",taxable
9453,"Aurelia Solitaire Ring",none
9454,"Aurelia Solitaire Ring",none
9455,"Aurelia Solitaire Ring",none
9456,"Aurelia Solitaire Ring",none
9458,"Aurelia Bezel Solitaire Ring",none
9459,"Aurelia Bezel Solitaire Ring",none
9460,"Aurelia Bezel Solitaire Ring",none
9461,"Aurelia Bezel Solitaire Ring",none
9462,"Aurelia Three Stone with Diamonds Ring",none
9463,"Aurelia Three Stone with Diamonds Ring",none
9464,"Aurelia Three Stone with Diamonds Ring",none
9465,"Aurelia Three Stone with Diamonds Ring",none
9467,"Aurelia Three Stone with Sapphires Ring",none
9468,"Aurelia Three Stone with Sapphires Ring",none
9469,"Aurelia Three Stone with Sapphires Ring",none
9470,"Aurelia Three Stone with Sapphires Ring",none
9471,"Bloom Ring",none
9472,"Bloom Ring",none
9473,"Bloom Ring",none
9474,"Bloom Ring",none
9504,"Bow Ring",none
9506,"Buttercup Ring",none
9507,"Cloud Ring",none
9512,"Dawn Ring",none
9516,"Gardenia Ring",none
9517,"Gather Ring",none
9519,"Hague Ring",none
9520,"June Ring",none
9523,"Peacock Feather Ring",none
9524,"Petal Ring",none
9525,"Rosalyn Ring",none
9526,"Signet Ring",none
9527,"Space and Time Parallel Ring",none
9529,"Space and Time Toi Et Moi Ring",none
9530,"Spiral Staircase Ring",none
9531,"Syzygy Ring",none
9532,"Wheat Ring",none
9533,"Burnished Diamond Band",taxable
9737,"Crescent Crown Diamond Eternity Band",none
9739,"Crescent Crown Half Diamond Eternity Band",none
9740,"Diamond Eternity Band 1.3mm",none
9743,"Diamond Eternity Band 1.8mm",none
9745,"Diamond Eternity Band 2.2mm",taxable
9746,"Diamond Eternity Band 2.2mm",taxable
